Name,Short name,URL name,Tags,Home page,Publication scheme,Disclosure log,Notes,Created at,Updated at,Version
Advisory Committee on Non-prescription Medicines,"",advisory_committee_on_non_prescription_medicines,health oaic_report_2011_2012 foi_yes federal,http://www.tga.gov.au/about/committees-acnm.htm,http://www.tga.gov.au/about/ips.htm#log,http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,The Advisory Committee on Non-prescription Medicines advises and makes recommendations to the Therapeutic Goods Administration regarding the entry of non-prescription medicines on the Australian Register of Therapeutic Goods.,2012-10-15 19:40:46 +1100,2016-08-16 04:55:24 +1000,5
Advisory Committee on Prescription Medicines,"",advisory_committee_on_prescription_medicines,health oaic_report_2011_2012 foi_yes federal,http://www.tga.gov.au/about/committees-acpm.htm,http://www.tga.gov.au/about/ips.htm#log,http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,The Advisory Committee on Prescription Medicines advises and makes recommendations to the TGA on prescription medicines.,2012-10-15 19:40:46 +1100,2017-01-04 20:50:12 +1100,5
Advisory Committee on the Safety of Medical Devices,"",advisory_committee_on_the_safety_of_medical_devices,health oaic_report_2011_2012 foi_yes federal,http://www.tga.gov.au/about/committees-acsmd.htm#members,http://www.tga.gov.au/about/ips.htm#log,http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,"The Advisory Committee on the Safety of Medical Devices advises and make recommendations to the Minister for Health and the Therapeutic Goods Administration on the safety, risk assessment, risk management and performance of medical devices supplied in Australia.",2012-10-15 19:40:46 +1100,2016-08-16 04:55:24 +1000,5
Advisory Committee on the Safety of Medicines,"",advisory_committee_on_the_safety_of_medicines,health oaic_report_2011_2012 foi_yes federal,http://www.tga.gov.au/about/committees-acsom.htm,http://www.tga.gov.au/about/ips.htm#log,http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,The Advisory Committee on the Safety of Medicines advises and makes recommendations to the TGA on the safety of medicines and risk assessment and risk management of medicines,2012-10-15 19:40:46 +1100,2016-08-16 04:55:24 +1000,5
Aged Care Complaints Commissioner,"",aged_care_complaints_commissioner,federal foi_yes oaic_report_2011_2012 social_services,http://www.agedcarecomplaints.gov.au,https://www.agedcarecomplaints.gov.au/about/freedom-of-information/information-publication-scheme-ips/,https://www.agedcarecomplaints.gov.au/about/freedom-of-information/foi-disclosure-log/,The Commissioner can review certain decisions made by the Department's Aged Care Complaints Scheme (the Scheme) and direct the Scheme to undertake a new resolution process taking into account the Commissioner’s views. The Commissioner can also examine complaints about the Scheme’s processes for handling matters and make recommendations to the Scheme based on these examinations.,2012-10-15 19:40:46 +1100,2017-10-17 16:03:13 +1100,8
Airservices Australia,Airservices,airservices,infrastructure_and_regional_development oaic_report_2011_2012 directory_gov_au foi_yes federal,http://www.airservicesaustralia.com,http://www.airservicesaustralia.com/about/information-publication-scheme/,http://www.airservicesaustralia.com/about/information-publication-scheme/foi-disclosure-log/,"Airservices is a government-owned corporation providing safe, secure, efficient and environmentally responsible services to the aviation industry. We manage air traffic operations for around 75 million passengers on more than three million flights every year.",2012-10-15 19:40:46 +1100,2018-05-31 11:11:29 +1000,4
Albury-Wodonga Corporation,AWC,awc,finance oaic_report_2011_2012 directory_gov_au foi_yes federal,http://www.awc.gov.au,http://www.awc.gov.au/corporate,http://www.awc.gov.au/corporate/freedom-of-information,"The Corporation, established under the Albury-Wodonga Development Act 1973, currently operates as a major property-owner and manager in the Albury-Wodonga region. The Corporation was previously a major land developer and concluded its residential land development activities in October 2006. Some industrial land development will continue until mid-2007. The Corporation is now concentrating on the disposal of its property assets in an orderly manner until around 2015.",2012-10-15 19:40:46 +1100,2016-08-16 04:55:24 +1000,4
ASC Pty Ltd,"",asc_pty_ltd,federal foi_probably_not finance police,http://www.asc.com.au,"","",ASC Pty Ltd is a government owned business that  supplys and maintains Australia's submarines and naval air warfare destroyers.,2012-10-15 19:40:46 +1100,2016-08-16 04:55:24 +1000,3
Assistant Treasurer,"",assistant_treasurer,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury,http://assistant.treasurer.gov.au,http://treasury.gov.au/PublicationsAndMedia/InformationPublicationScheme,"","",2012-10-15 19:40:46 +1100,2016-08-16 04:55:24 +1000,2
Attorney-General,"",attorney_general,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general,http://www.attorneygeneral.gov.au/,http://www.ag.gov.au/Freedomofinformation/Pages/InformationPublicationScheme(IPS).aspx,"","",2012-10-15 19:40:47 +1100,2017-08-02 04:55:24 +1000,5
Attorney-General's Department,AGD,agd,attorney_general oaic_report_2011_2012 directory_gov_au federal foi_yes,http://www.ag.gov.au,http://www.ag.gov.au/RightsAndProtections/FOI/Pages/InformationPublicationScheme.aspx,http://www.ag.gov.au/RightsAndProtections/FOI/Pages/Freedomofinformationdisclosurelog.aspx,"The Attorney-General's Department was one of the original departments established at Federation in 1901. It serves the Attorney-General's and the Minister for Home Affairs and provides policy advice and services to the Commonwealth in the following main areas: administrative, constitutional, civil, family and international law, international crime cooperation, Indigenous legal justice, law reform, bankruptcy estate administration and regulation, Commonwealth courts and tribunals, legal aid, native title, national and international human rights issues, censorship, criminal law and law enforcement, national security, emergency management, some aspects of customs and border control.",2012-10-15 19:40:47 +1100,2018-05-28 20:12:28 +1000,6
Auditing and Assurance Standards Board,AUASB,auasb,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury,http://www.auasb.gov.au,http://www.auasb.gov.au/FOI/Information-Publication-Scheme.aspx,"","To develop, in the public interest, high quality auditing and assurance standards and related guidance as a means to enhance the relevance, reliability and timeliness of information provided to users of audit and assurance services.",2012-10-15 19:40:47 +1100,2016-08-16 04:55:25 +1000,2
Australasian Procurement and Construction Council Inc,"",australasian_procurement_and_construction_council_inc,foi_yes federal oaic_report_2011_2012 finance,http://www.apcc.gov.au/,"","","",2012-10-15 19:40:47 +1100,2016-08-16 04:55:25 +1000,2
Australia Council for the Arts,Australia Council,australia_council,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general,http://www.australiacouncil.gov.au,http://www.australiacouncil.gov.au/about_us/corporate_information/freedom_of_information/information_publication_scheme,http://www.australiacouncil.gov.au/about_us/corporate_information/freedom_of_information/freedom_of_information_disclosure_log,The Australia Council for the Arts is the Australian Government's arts funding and advisory body.,2012-10-15 19:40:47 +1100,2017-03-24 15:47:30 +1100,5
Australian Accounting Standards Board,AASB,aasb,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury,http://www.aasb.gov.au,http://www.aasb.gov.au/FOI/Information-Publication-Scheme.aspx,http://www.aasb.gov.au/FOI/Disclosure-Log.aspx,"The AASB makes accounting standards for the private, public and not-for-profit sectors and participates in the formulation of international accounting standards.",2012-10-15 19:40:47 +1100,2016-08-16 04:55:25 +1000,3
Australian Agency for International Development,AusAID,ausaid,defunct foreign_affairs_and_trade oaic_report_2011_2012 directory_gov_au foi_yes federal,http://www.ausaid.gov.au,http://www.ausaid.gov.au/ips/Pages/default.aspx,"","Australian AID (the Australian Agency for International Development) was the Australian Government agency responsible for managing Australia's overseas aid program until 31 October 2013, when it ceased to be an executive agency and was integrated into the Department of Foreign Affairs and Trade. The objective of the aid program is to assist developing countries to reduce poverty and achieve sustainable development, in line with Australia's national interest.",2012-10-15 19:40:47 +1100,2016-08-16 04:55:25 +1000,3
Australian Broadcasting Corporation,ABC,abc,federal foi_yes directory_gov_au oaic_report_2011_2012 communications,http://abc.net.au/,http://about.abc.net.au/abc-ips-information/,http://about.abc.net.au/how-the-abc-is-run/what-guides-us/freedom-of-information/foi-disclosure-log/,"Australian Broadcasting Corporation functions are to provide public broadcasting services within Australia and overseas and to encourage and promote Australia's musical, dramatic and other performing arts. It is not required to disclose documents that relate to program material as these are exempt from FOI under the law.",2012-10-15 19:40:47 +1100,2018-05-08 20:26:23 +1000,7
Australian Bureau of Statistics,ABS,abs,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury,http://www.abs.gov.au,http://www.abs.gov.au/websitedbs/D3310114.nsf/home/information+publication+scheme,http://www.abs.gov.au/websitedbs/D3310114.nsf/home/Disclosure+log,Australian Bureau of Statistics is the central statistical authority for the Australian Government including the conducting of the national census.,2012-10-15 19:40:48 +1100,2018-04-24 07:10:14 +1000,3
Australian Centre for International Agricultural Research,ACIAR,aciar,foi_yes federal directory_gov_au oaic_report_2011_2012 foreign_affairs_and_trade,http://www.aciar.gov.au,http://aciar.gov.au/IPS,http://aciar.gov.au/FOI_disclosure_log,"Australian Centre for International Agricultural was established to encourage research for the purpose of identifying, and finding solutions to, agricultural problems of developing countries. ACIAR's mission is to achieve more productive and sustainable agricultural systems, for the benefit of Developing Countries and Australia, through international agricultural research partnerships.",2012-10-15 19:40:48 +1100,2016-08-16 04:55:25 +1000,3
Australian Commission for Law Enforcement Integrity,ACLEI,aclei,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general,http://www.aclei.gov.au,http://www.aclei.gov.au/Pages/Freedom%20of%20information/Information-Publication-Scheme.aspx,http://www.aclei.gov.au/Pages/Freedom%20of%20information/Freedom-of-information-disclosure-log.aspx,"ACLEI's function is to detect, investigate and prevent corruption in the Australian Crime Commission, the Australian Federal Police, the Australian Customs and Border Protection Service and the former National Crime Authority.",2012-10-15 19:40:48 +1100,2018-05-30 20:07:22 +1000,4
Australian Commission on Safety and Quality in Health Care,ACSQHC,acsqhc,health oaic_report_2011_2012 directory_gov_au foi_yes federal,http://www.safetyandquality.gov.au/,http://www.safetyandquality.gov.au/about-us/freedom-of-information/information-publication-scheme-agency-plan/,http://www.safetyandquality.gov.au/wp-content/uploads/2012/01/ACSQHC-Disclosure-Log-19-June-2013-Word-29kb.doc,"The Australian Commission on Safety and Quality in Health Care (ACSQHC) lead and coordinate national improvements in safety and quality in health care across Australia. They have a number of programs, publications and resources to support healthcare professionals, healthcare organisations and healthcare policy makers, working with patients and carers, to deliver safe and quality health care across Australia.",2012-10-15 19:40:48 +1100,2017-02-17 18:25:28 +1100,5
Australian Commission on Safety and Quality in Healthcare Board,"",australian_commission_on_safety_and_quality_in_healthcare_board,foi_yes federal oaic_report_2011_2012 health,http://www.safetyandquality.gov.au/,http://www.safetyandquality.gov.au/about-us/freedom-of-information/information-publication-scheme-agency-plan/,"","",2012-10-15 19:40:48 +1100,2016-08-16 04:55:25 +1000,3
Australian Communications and Media Authority,ACMA,acma,communications oaic_report_2011_2012 directory_gov_au foi_yes federal,http://www.acma.gov.au,http://www.acma.gov.au/theACMA/About/Corporate/Accountability/acma-freedom-of-information-act-publication-plan,http://www.acma.gov.au/theACMA/About/Corporate/Accountability/freedom-of-information-act-disclosure-log,"The Australian Communications and Media Authority (ACMA) is responsible for the regulation of broadcasting, the internet, radiocommunications and telecommunications. ACMA's responsibilities include promoting self-regulation and competition in the telecommunications industry, while protecting consumers and other users; fostering an environment in which electronic media respect community standards and responds to audience and user needs; managing access to the radio frequency spectrum, including the broadcasting services bands; representing Australia's communications and broadcasting interests internationally.",2012-10-15 19:40:48 +1100,2018-05-31 14:22:42 +1000,5
Australian Community Pharmacy Authority,ACPA,acpa,health oaic_report_2011_2012 directory_gov_au foi_yes federal,http://www.health.gov.au/acpa,"","",Makes recommendations to the Secretary of the Department of Health and Ageing on applications made under section 90 of the National Health Act 1953 for approval to supply pharmaceutical benefits from particular premises. This involves consideration of applications to establish new approvals or relocate existing approvals.,2012-10-15 19:40:48 +1100,2017-10-11 21:23:44 +1100,3
Australian Competition and Consumer Commission,ACCC,accc,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury,http://www.accc.gov.au,http://foi.accc.gov.au/foi-publishing-requirements,http://foi.accc.gov.au/foi-disclosure-log?year=&month=,A statutory authority responsible for ensuring compliance with the Trade Practices Act.,2012-10-15 19:40:49 +1100,2018-04-04 16:20:52 +1000,3
Australian Competition Tribunal,ACT,act,foi_yes federal directory_gov_au oaic_report_2011_2012 treasury,http://www.competitiontribunal.gov.au/,"","",The Australian Competition Tribunal hears applications for review of determinations of the Australian Competition and Consumer Commission granting or revoking authorisations permitting conduct and arrangements that would otherwise be prohibited under the Trades Practices Act because of their anti competitive effect. The Tribunal also hears applications for review of determinations of the Commission granting or refusing clearances for company mergers and acquisitions.,2012-10-15 19:40:49 +1100,2017-03-21 04:55:22 +1100,3
Australian Crime Commission,ACC,acc,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general,http://www.crimecommission.gov.au,https://www.crimecommission.gov.au/publications/information-publication-scheme/information-publication-scheme-agency-plan,https://www.crimecommission.gov.au/publications/freedom-information/disclosure-log,The role of the ACC is to: undertake criminal intelligence collection and analysis; set clear national criminal intelligence priorities; and conduct intelligence led investigations of criminal activity of national significance including the conduct and/or coordination of investigative and intelligence taskforces approved by the ACC Board. The ACC has access to coercive powers which are exercised by its Examiners.,2012-10-15 19:40:49 +1100,2018-05-28 20:12:46 +1000,5
"Australian Curriculum, Assessment and Reporting Authority",ACARA,acara,foi_yes federal directory_gov_au oaic_report_2011_2012 education_and_training,http://www.acara.edu.au/,http://www.acara.edu.au/acara_ips.html,http://www.acara.edu.au/acara_freedom_of_information_disclosure_log.html,"Australian Curriculum, Assessment and Reporting Authority (ACARA) is responsible for a national curriculum from kindergarten to Year 12, a national assessment program that measures students' progress and a national data collection and reporting program that supports analysis, evaluation, research and resource allocation, and accountability and reporting.",2012-10-15 19:40:49 +1100,2017-03-07 13:23:56 +1100,4
Australian Border Force,ABF,abf,federal foi_yes directory_gov_au oaic_report_2011_2012 immigration_and_border_protection,https://www.border.gov.au/australian-border-force-abf,https://www.border.gov.au/about/access-accountability/freedom-of-information-foi/information-publication-scheme,http://www.border.gov.au/about/access-accountability/freedom-of-information-foi/log,"On 1 July 2015 Australian Customs and Border Protection Service was integrated into the Department of Immigration and Border Protection. This includes the Australian Border Force agency which was established to deliver front-line operations.

<p> Requests prior to 1 July 2015 were sent to the Australian Customs and Border Protection Service (ACBPS). Requests are processed by the <a href=""https://www.righttoknow.org.au/body/dibp"">Department of Immigration and Border Protection</a>.",2012-10-15 19:40:49 +1100,2018-01-16 22:22:01 +1100,8
Australian Defence Force Academy Consultative Council,"",australian_defence_force_academy_consultative_council,foi_yes federal oaic_report_2011_2012 defence,http://www.defence.gov.au,"","","",2012-10-15 19:40:49 +1100,2016-08-16 04:55:26 +1000,2
Australian Defence Human Research Ethics Committee,"",australian_defence_human_research_ethics_committee,foi_yes federal directory_gov_au oaic_report_2011_2012 defence,http://www.defence.gov.au/health/research/adhrec/i-adhrec.htm,"","","ADHREC is the Human Research Ethics Committee for Defence. ADHREC approval must therefore be sought when human research is conducted:

A. on ADF or other Defence personnel, and/or
B. by Defence personnel, and/or
C. on/in a Defence establishment.",2012-10-15 19:40:49 +1100,2017-01-12 02:47:45 +1100,4
Australian Electoral Commission,AEC,aec,finance oaic_report_2011_2012 directory_gov_au foi_yes federal,http://www.aec.gov.au,http://www.aec.gov.au/About_AEC/Publications/foi.htm,http://www.aec.gov.au/information-access/foi/,The Australian Electoral Commission (AEC) is responsible for providing the Australian people with an independent electoral service which meets their needs and encourages them to understand and participate in the electoral process.,2012-10-15 19:40:49 +1100,2018-05-14 21:59:29 +1000,4
Australian Energy Regulator,AER,aer,foi_yes federal oaic_report_2011_2012 treasury,http://www.aer.gov.au/,"","",The Australian Energy Regulator is responsible for the economic regulation of the electricity transmission and distribution networks in the additional electricity market. The AER is also responsible for the economic regulation of gas transmission and distribution networks and enforcing the national gas law and national gas rules.,2012-10-15 19:40:50 +1100,2017-08-18 14:29:29 +1000,3
Australian Federal Police,AFP,afp,attorney_general oaic_report_2011_2012 directory_gov_au federal foi_yes,http://www.afp.gov.au,https://www.afp.gov.au/about-us/information-publication-scheme,https://www.afp.gov.au/about-us/information-publication-scheme/routinely-requested-information-and-disclosure-log,"<strong>Do not request personal information using this site.</strong> <a href=""https://www.righttoknow.org.au/help/requesting#data_protection"">Why?</a>

<p> The AFP polices counter terrorism, human trafficking and sexual servitude, cyber-crime and other transnational crimes. It also delivers peace operations in cooperation with local police forces internationally and protection of government facilties including the embassies of foreign countries in Canberra.",2012-10-15 19:40:50 +1100,2018-06-01 11:15:22 +1000,7
"Australian Film, Television and Radio School",AFTRS,aftrs,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general,http://www.aftrs.edu.au,http://www.aftrs.edu.au/about/governance/foi/information-publication-scheme,http://www.aftrs.edu.au/about/governance/foi/disclosure-log,Contributes to the sustainability of the Australian screen and broadcast industries through the provision of advanced and training to highly talented and creative students and meeting the training needs of industry.,2012-10-15 19:40:50 +1100,2016-08-16 04:55:27 +1000,5
Australian Fisheries Management Authority,AFMA,afma,foi_yes federal directory_gov_au oaic_report_2011_2012 agriculture,http://www.afma.gov.au/,http://www.afma.gov.au/resource-centre/publications-and-forms/corporate/freedom-of-information/information-publication-scheme/,http://www.afma.gov.au/resource-centre/publications-and-forms/corporate/freedom-of-information/afma-disclosure-log/,"AFMA is the Commonwealth agency that looks after Australia's offshore commercial fish resources and strives for the sustainable use of our fisheries on behalf of all Australians. AFMA generally manages commercial fisheries from 3 nautical miles out to the extent of the Australian Fishing Zone (200 nautical miles). The States and Northern Territory are responsible for the majority of recreational and commercial coastal and inland fishing, and inland and coastal aquaculture operations. Established in February 1992, AFMA's operations are governed by the Fisheries Management Act 1991 and the Fisheries Administration Act 1991. AFMA consults extensively with stakeholders. In a regulatory environment, the Authority employs a partnership approach, which includes establishing and operating Management Advisory Committees for each major Commonwealth fishery. A commission is responsible for AFMA's domestic fisheries management functions. The CEO is a commissioner, assists the commission perform its functions and is responsible for AFMA's foreign compliance functions. Commissioners are appointed for their expertise in areas such as fishing, fisheries management, natural resource management, business or financial management, economics, science/research, law and public sector administration or governance.",2012-10-15 19:40:50 +1100,2017-03-31 22:46:08 +1100,5
Australian Government Solicitor,AGS,ags,foi_probably_not attorney_general federal,http://www.ags.gov.au/,"","","AGS provides legal and related services in support of the full range of activities of Australian Government departments and agencies. These services include the conduct of litigation and dispute resolution, the provision of legal advice, and through its broad commercial practice, advice and assistance in commercial and corporate law, particularly within a government context.",2012-10-15 19:40:50 +1100,2017-09-08 04:55:28 +1000,4
Australian Hearing,AH,ah,human_services oaic_report_2011_2012 directory_gov_au foi_yes federal social_services,http://www.hearing.com.au,http://www.hearing.com.au/information-publication-scheme,www.humanservices.gov.au/corporate/freedom-of-information/disclosure-log,"Australian Hearing, a Federal Government Agency of the Department of Human Services, is the sole government provider of hearing assessment and rehabilitation services to Australians under 21 years-of-age, adults with complex needs, eligible Aboriginal and Torres Strait Islanders including those 50 years of age and over, participants of Community Development Projects (CDEP), and eligible clients living in remote areas.",2012-10-15 19:40:50 +1100,2017-10-19 22:16:01 +1100,7
Australian Heritage Council,austnh,austnh,foi_yes federal directory_gov_au oaic_report_2011_2012 environment,http://www.ahc.gov.au,http://www.environment.gov.au/heritage/ahc/foi/ips.html,http://www.environment.gov.au/topics/about-us/freedom-information/foi-disclosure-log,"The Australian Heritage Council is an independent body of heritage experts established under the Australian Heritage Council Act 2003, that advises the Minister for the Environment, Heritage and the Arts on heritage matters. The Council's major role is to assess the heritage values of places nominated for the National Heritage List and the Commonwealth Heritage List, and to advise the Minister on promotion, research, education, policies, grants, conservation and other matters.",2012-10-15 19:40:50 +1100,2016-12-01 23:15:38 +1100,4
Australian Human Rights Commission,"",australian_human_rights_commission,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general,http://www.humanrights.gov.au,https://www.humanrights.gov.au/ips/ips_scheme.html,https://www.humanrights.gov.au/ips/foi_disclosure.html,"The Australian Human Rights Commission's goals are to foster greater understanding and protection of human rights in Australia and to address the human rights concerns of a broad range of individuals and groups. The Commission's responsibilities include and public awareness; discrimination and human rights complaints; human rights compliance; policy and legislative development. The Commission investigates alleged infringements of human rights under the Human Rights and Equal Opportunity Commission Act 1986 and breaches of anti-discrimination law under the Age Discrimination Act 2004, Disability Discrimination Act 1992, Racial Discrimination Act 1975 and Sex Discrimination Act 1984.",2012-10-15 19:40:50 +1100,2017-02-23 20:44:42 +1100,5
Australian Institute of Aboriginal and Torres Strait Islander Studies,AIATSIS,aiatsis,prime_minister oaic_report_2011_2012 directory_gov_au foi_yes federal,http://www.aiatsis.gov.au,http://www.aiatsis.gov.au/corporate/informationpublicationscheme.html,"","Conducts, facilitates and promotes Aboriginal and Torres Strait Islander studies, especially through research, collections and publications.",2012-10-15 19:40:51 +1100,2016-12-03 04:55:32 +1100,3
Australian Institute of Criminology,AIC,aic,federal foi_yes directory_gov_au oaic_report_2011_2012 attorney_general,http://www.aic.gov.au,http://www.aic.gov.au/en/about_aic/corporate%20information/section8.aspx,http://www.aic.gov.au/en/about_aic/corporate%20information/foi.aspx,"The Institute conducts policy relevant research in the field of criminal justice, publishes research findings, and conducts conferences, seminars and roundtables.",2012-10-15 19:40:51 +1100,2018-03-14 20:24:44 +1100,5
Australian Institute of Family Studies,AIFS,aifs,prime_minister oaic_report_2011_2012 directory_gov_au foi_yes federal,http://www.aifs.gov.au,http://www.aifs.gov.au/ips/,http://www.aifs.gov.au/foi/disclosurelog.html,"The role of the Australian Institute of Family Studies is to conduct research and communicate findings that affect family wellbeing to policy makers, service providers and the broader community.",2012-10-15 19:40:51 +1100,2016-08-16 04:55:27 +1000,3
Australian Institute of Health and Welfare,AIHW,aihw,foi_yes federal health oaic_report_2011_2012 directory_gov_au,http://www.aihw.gov.au,http://www.aihw.gov.au/ips/,http://www.aihw.gov.au/foi-disclosure-log/,"The Australian Institute of Health and Welfare (AIHW) provides statistical information that governments and the community can use to promote discussion and make decisions on health, and community services in Australia. It also contributes to international statistical standards through work with the WHO and the OECD.",2012-10-15 19:40:51 +1100,2017-02-24 13:33:09 +1100,4
